@RELATION f1

@ATTRIBUTE position_prev_race NUMERIC
@ATTRIBUTE position_prev_year NUMERIC
@ATTRIBUTE position_qualy     NUMERIC
@ATTRIBUTE 'class' { IN, OUT}

@DATA
17,-1,17,IN
13,-1,14,OUT
9,19,12,OUT
22,10,18,OUT
15,9,6,OUT
21,-1,19,OUT
20,-1,20,OUT
16,11,16,OUT
18,-1,21,OUT
12,16,13,OUT
6,5,11,OUT
10,20,8,OUT
11,13,15,OUT
2,10,4,IN
6,7,3,IN
1,3,2,IN
4,4,6,IN
20,5,11,IN
8,13,7,IN
7,18,22,IN
21,14,8,IN
19,17,9,IN
15,-1,19,IN
14,8,16,OUT
17,19,17,OUT
12,6,10,OUT
9,9,15,OUT
16,-1,21,OUT
18,-1,20,OUT
13,12,18,OUT
3,2,1,OUT
11,-1,13,OUT
10,-1,14,OUT
22,11,12,OUT
5,1,5,OUT
3,2,1,IN
2,9,5,IN
18,1,2,IN
22,3,4,IN
4,4,3,IN
1,15,6,IN
6,12,7,IN
8,6,9,IN
13,17,12,IN
5,5,11,IN
21,7,8,OUT
10,-1,16,OUT
14,13,13,OUT
20,-1,18,OUT
12,14,19,OUT
7,11,15,OUT
11,10,14,OUT
9,16,17,OUT
17,20,20,OUT
19,-1,10,OUT
16,-1,21,OUT
15,-1,22,OUT
3,1,1,IN
1,2,2,IN
6,10,3,IN
4,3,6,IN
16,11,12,IN
17,7,10,IN
9,17,9,IN
7,5,11,IN
18,6,19,IN
11,18,17,IN
13,13,13,OUT
14,-1,18,OUT
12,-1,15,OUT
15,15,16,OUT
19,9,21,OUT
10,19,8,OUT
22,-1,20,OUT
21,-1,22,OUT
5,16,5,OUT
2,4,4,OUT
20,-1,14,OUT
8,14,7,OUT
1,2,1,IN
2,1,2,IN
3,5,4,IN
20,9,3,IN
4,18,7,IN
19,19,6,IN
22,7,5,IN
16,3,8,IN
7,6,9,IN
8,8,12,IN
14,12,15,OUT
9,14,13,OUT
5,20,11,OUT
13,-1,-1,OUT
15,17,19,OUT
6,13,10,OUT
12,-1,14,OUT
11,4,18,OUT
21,-1,17,OUT
10,10,21,OUT
18,-1,20,OUT
17,-1,16,OUT
1,2,1,IN
2,1,2,IN
4,9,4,IN
10,12,9,IN
5,3,5,IN
16,19,15,IN
7,6,8,IN
3,11,6,IN
15,13,22,IN
13,15,10,IN
8,5,11,OUT
21,-1,20,OUT
18,7,14,OUT
17,-1,18,OUT
22,-1,19,OUT
12,14,17,OUT
19,-1,12,OUT
9,20,13,OUT
14,-1,16,OUT
6,4,3,OUT
11,16,21,OUT
20,8,7,OUT
1,2,1,IN
2,1,2,IN
5,4,5,IN
3,16,6,IN
8,6,3,IN
20,3,4,IN
7,7,7,IN
4,5,8,IN
18,8,10,IN
10,17,9,IN
22,9,14,OUT
17,-1,13,OUT
12,-1,20,OUT
15,-1,16,OUT
21,14,22,OUT
9,15,19,OUT
19,-1,15,OUT
6,11,21,OUT
13,10,17,OUT
16,12,12,OUT
11,13,11,OUT
14,-1,18,OUT
-1,3,2,IN
-1,2,1,IN
-1,8,3,IN
-1,18,4,IN
-1,10,5,IN
-1,5,7,IN
-1,13,11,IN
-1,9,8,IN
-1,22,9,IN
-1,-1,14,IN
-1,7,12,OUT
-1,-1,16,OUT
-1,-1,18,OUT
-1,21,13,OUT
-1,12,17,OUT
-1,-1,19,OUT
-1,4,10,OUT
-1,17,15,OUT
-1,11,20,OUT
-1,6,6,OUT
2,7,1,IN
1,2,2,IN
5,8,19,IN
17,4,5,IN
4,5,4,IN
3,10,3,IN
8,9,11,IN
15,17,12,IN
7,11,8,IN
10,-1,20,IN
20,19,17,OUT
11,15,7,OUT
19,22,18,OUT
6,6,6,OUT
18,16,14,OUT
14,12,13,OUT
9,3,9,OUT
13,-1,16,OUT
12,-1,15,OUT
16,-1,10,OUT
2,21,3,IN
1,3,2,IN
6,9,1,IN
5,2,5,IN
4,4,4,IN
14,8,8,IN
9,16,18,IN
11,5,9,IN
12,15,7,IN
10,-1,14,IN
-1,13,13,OUT
17,7,11,OUT
13,22,10,OUT
16,-1,15,OUT
15,12,19,OUT
7,18,16,OUT
20,-1,12,OUT
3,6,6,OUT
8,11,20,OUT
18,-1,17,OUT
3,4,3,IN
1,20,1,IN
4,3,2,IN
2,2,4,IN
18,19,7,IN
7,9,9,IN
10,-1,10,IN
9,21,8,IN
6,5,6,IN
16,12,11,IN
17,-1,12,OUT
12,15,13,OUT
19,7,14,OUT
20,-1,17,OUT
15,14,19,OUT
11,18,18,OUT
